participant,juego_norm,pupil_mean,pupil_std,movimiento_mean,gaze_x_var,gaze_y_var,asco,ira/enfado,ansiedad,miedo,frustración,entusiasmo/excitación,alegría,felicidad/placer,tristeza/depresión,fatiga/cansancio,aburrimiento,satisfacción,relax,nasa_mental,nasa_fisica,nasa_temporal,nasa_rendimiento,nasa_esfuerzo,nasa_frustracion,nasa_rendimiento_inv,afecto_positivo,afecto_negativo,balance_emocional,nasa_carga_total
ra26021030,sonic,3.0833603901338074,0.17487813954992382,17.097802148402515,0.03894102567304434,0.11702369791907791,1,1,1,1,1,5,4,4,1,1,2,4,2,7,3,4,3,6,2,8,3.8,1.125,2.675,5.0
ra26021030,tetris,3.007210162844233,0.14763980301674898,16.803156909681505,0.03816682742447787,0.13231512831728612,1,1,1,1,2,5,5,5,1,1,3,5,3,5,1,5,7,5,2,4,4.6,1.375,3.2249999999999996,3.6666666666666665
ra26021030,tetris,3.007210162844233,0.14763980301674898,16.803156909681505,0.03816682742447787,0.13231512831728612,1,1,1,1,2,5,5,5,1,1,3,5,3,5,1,5,7,5,2,4,4.6,1.375,3.2249999999999996,3.6666666666666665
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,2,3,2,1,2,1,1,2,1,2,4,3,2,5,4,4,6,1.6,1.5,0.10000000000000009,3.8333333333333335
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,2,1,3,3,2,1,2,3,2,1,5,4,3,7,6,3,4,2.2,1.625,0.5750000000000002,4.166666666666667
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,3,1,1,1,3,1,1,1,2,4,3,1,2,3,2,3,2,4,5,9,1.2,2.25,-1.05,4.333333333333333
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,2,2,3,3,3,4,3,4,2,1,3,3,2,4,3,2,7,4,6,4,3.2,2.375,0.8250000000000002,3.8333333333333335
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,2,3,2,1,2,1,1,2,1,2,4,3,2,5,4,4,6,1.6,1.5,0.10000000000000009,3.8333333333333335
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,2,1,3,3,2,1,2,3,2,1,5,4,3,7,6,3,4,2.2,1.625,0.5750000000000002,4.166666666666667
td22110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,3,1,1,1,3,1,1,1,2,4,3,1,2,3,2,3,2,4,5,9,1.2,2.25,-1.05,4.333333333333333
